datetime,text,sentiment,source,sentiment_score,hour,day_of_week
2009-06-22 13:52:22,My chapstick melted ,negative,sentiment140,0.0,13.0,Monday
2009-05-02 10:38:18,"@yjlovesjj I dno diff release dates in the U.K i thinks,i'll just have to wait a little longer  and thnx, you toooo ",positive,sentiment140,1.0,10.0,Saturday
2009-06-22 12:02:02,No warped tour for ashlee. ,negative,sentiment140,0.0,12.0,Monday
2009-05-29 22:16:24,The airport had the cool dyson airstream thing to dry my hands love it! ,positive,sentiment140,1.0,22.0,Friday
2009-05-17 23:57:26,@Etown_Jenn *not really here* but for serious??  FML!!! ONCE AGAIN.....UGH!!,negative,sentiment140,0.0,23.0,Sunday
2009-06-06 16:30:36,@tammieryan you just can't get enough of me ,positive,sentiment140,1.0,16.0,Saturday
2009-05-29 07:38:06,And a buttom fell off my jacket. What is it with buttons? They don't like to stay on. Guess @_twt will have to help me sew it on. ,positive,sentiment140,1.0,7.0,Friday
2009-06-14 23:24:27,I had this crazy notion I could see in the dark (I can't). Downside of walking (lightless) to my car (also barefoot)? Creepy AND painful. ,negative,sentiment140,0.0,23.0,Sunday
2009-06-05 19:30:15,"@tjchicagoangel what's up Tiff, are you going to follow me already?!! ",positive,sentiment140,1.0,19.0,Friday
2009-04-18 09:00:34,@madinalake havent heard your new cd yet ,negative,sentiment140,0.0,9.0,Saturday
2009-06-06 15:24:27,"Awwww, my neighbor is having practice for her Quinceanera right now. That was a decade ago for me!! F**K!! I'm gettin old ",negative,sentiment140,0.0,15.0,Saturday
2009-06-01 09:33:27,"was trying to give Violette one more chance, but everything turns to potpourri on my skin. Really not good.  #perfume",negative,sentiment140,0.0,9.0,Monday
2009-06-15 23:48:07,Im on aim now  sn: jemlove26 yeah im bored.,positive,sentiment140,1.0,23.0,Monday
2009-06-07 16:21:14,"@blinkL182 Nahhh, that's why I can hear your freaking TV ^^ And Chatting w/ who? ",positive,sentiment140,1.0,16.0,Sunday
2009-06-02 04:23:43,@LatteWithLori Usually takes me about an hour. When I'm not tweeting. ,positive,sentiment140,1.0,4.0,Tuesday
2009-05-31 00:22:48,"its 8 22 am, im so tired work for 6 hours  plus i have an interview thing which i cba tbh xx",negative,sentiment140,0.0,0.0,Sunday
2009-06-02 04:23:03,@kimmieisamazing @nikster07 I said daquiri mmmm. Only problem is mangos are not in season ,negative,sentiment140,0.0,4.0,Tuesday
,"If youâre wondering what #ChatGPT is, if Austin Butlerâs #Elvis accent is here to stay, and if @selenagomez is singleâ¦
@shalzybean is on the air to answer all those questions. Tune in until 5pm! https://t.co/xwxfCAGjq5",neutral,chatgpt,0.5,,
2009-05-18 07:13:39,@TheDavidBlaise aye fool happy birthday  celebrate big and have fun!,positive,sentiment140,1.0,7.0,Monday
2009-06-05 21:26:17,Old conversations; they're fun to go through ,positive,sentiment140,1.0,21.0,Friday
2009-06-19 22:07:47,@BeeAshley Very unfortunate ,negative,sentiment140,0.0,22.0,Friday
2009-05-29 14:20:31,watching squrills at the park. and he's just laying on the table. he's cuuutee ,positive,sentiment140,1.0,14.0,Friday
2009-06-01 00:28:28,"Gah! The M40 has turned into a 4 mile long, 3 mph conga. ",negative,sentiment140,0.0,0.0,Monday
2009-06-16 06:06:00,There are too many annoying commercials on MTV Jams..... Ruins my morning groove... ,negative,sentiment140,0.0,6.0,Tuesday
,"Microsoft confirmed Monday it has agreed to a âmultiyear, multibillion-dollar investmentâ into OpenAI, the startup behind the artificial intelligence tools ChatGPT and DALL-E.

The deal has been rumored for weeks. While the exact dollar amount was not coâ¦ https://t.co/Wg2elN5Z5J",positive,chatgpt,1.0,,
2009-05-03 00:15:04,That's what's up ,positive,sentiment140,1.0,0.0,Sunday
2009-06-01 04:17:39,"Relaxing day.  Picked up Valkyria Chronicles for PS3, very impressive thus far...",positive,sentiment140,1.0,4.0,Monday
2009-06-19 03:10:23,Suppose better do some homework! ,negative,sentiment140,0.0,3.0,Friday
2009-06-17 07:20:37,@markng We'll miss you full stop then ,negative,sentiment140,0.0,7.0,Wednesday
2009-06-15 10:50:29,"@YadiRose They have such high end designers designing for them now, sucks that we can't even buy online! ",negative,sentiment140,0.0,10.0,Monday
2009-06-18 07:12:53,"@therev : Nooooo .... stay hereeeee .... Well, okay  See you soon!!! Mwah mwah!! :*",negative,sentiment140,0.0,7.0,Thursday
2009-06-04 23:02:41,@linnndaaa i miss the usf fambam too!!! ,negative,sentiment140,0.0,23.0,Thursday
2009-06-15 06:53:21,at the mechanic  will be stuck here for atleast an hour more .,negative,sentiment140,0.0,6.0,Monday
2009-06-06 10:29:11,"in the summer when you live near a mcdonalds you get a lot of fry wafting. if you pretend really hard, it's like coney island ",negative,sentiment140,0.0,10.0,Saturday
2009-05-03 05:13:20,@twoname HAHAHAHAHAAH  You r so silly!,positive,sentiment140,1.0,5.0,Sunday
2009-06-03 02:00:45,Ok I REALLY need to go to bed and stop playing around with Twitter adding new friends!! Hello all you new people ,positive,sentiment140,1.0,2.0,Wednesday
2009-06-20 20:31:13,there's no stars in providence ,negative,sentiment140,0.0,20.0,Saturday
2009-05-31 23:39:35,@Soezy08 Wonderfull to read that you had a great day! Im getting ready to go to Amsterdam....soooo looking forward to it! ,positive,sentiment140,1.0,23.0,Sunday
2009-06-15 06:57:34,@sparkica go get them! ,positive,sentiment140,1.0,6.0,Monday
2009-06-01 11:27:54,i think i might be getting sick. in the summer ,negative,sentiment140,0.0,11.0,Monday
2009-06-03 04:55:57,@bojibob Yeah! 100% proficient~that's great! What are your teachers doing right up there? ,positive,sentiment140,1.0,4.0,Wednesday
2009-06-01 15:25:26,"@annieoliff haha its gonna be good - 12pm start, 6 am finish! ",positive,sentiment140,1.0,15.0,Monday
2009-06-03 07:48:00,feeding Aiden and watching cartoons ,positive,sentiment140,1.0,7.0,Wednesday
2009-06-20 23:24:20,@Knouvacaine That bitch been tryna take my coochie since i got in here ,negative,sentiment140,0.0,23.0,Saturday
2009-05-14 04:17:17,is watching airplane! ,positive,sentiment140,1.0,4.0,Thursday
2009-04-19 10:05:26,"@diabolicalpnthr Oh, the last thing she needs is my 90s fanboyism to resurface in the guise of a mid-30s KS moron. ",positive,sentiment140,1.0,10.0,Sunday
2009-06-01 08:46:43,Hot day or what !!  sunburnt  Headache !!!       Soulja boy   FITT !!,negative,sentiment140,0.0,8.0,Monday
2009-06-07 20:34:46,Going to bed. Start back to work tomorrow ,negative,sentiment140,0.0,20.0,Sunday
2009-06-15 19:30:28,"@bwJen Oh, I just saw Adolph &amp; Angus! Love them too!! I'm a sucker for kitties. ",positive,sentiment140,1.0,19.0,Monday
2009-05-29 00:59:59,i guess i'd like to mash it on a caribbean island a few times. I came close but we were in the car ,positive,sentiment140,1.0,0.0,Friday
2009-05-31 05:31:04,ow its riding not rinding sorry for that ,positive,sentiment140,1.0,5.0,Sunday
2009-06-02 10:19:00,@takingnames  Did you try resetting the modem? Just to see if that works?,negative,sentiment140,0.0,10.0,Tuesday
2009-06-19 10:25:35,"@tammigirl Yummy, Don Pablos, they closed ours in Tulsa- that was where my DH and I went on our 1st date ",negative,sentiment140,0.0,10.0,Friday
2009-06-06 15:30:27,So like we don't really know how to tweet and like we followed a bunch of old people  Help!,negative,sentiment140,0.0,15.0,Saturday
,"Que gran fortuna serÃ­a tener profesores con la calidad del doctor @carlosivanmoren 
""Promover el pensamiento crÃ­tico, la creatividad y la empatÃ­a"" 

#ChatGPT https://t.co/pWt6ZUxLPR",neutral,chatgpt,0.5,,
2009-06-06 21:30:37,"Holiday is over  sat in a hotel at heathrow, ready to get the flight to Manchester and home to the cats and fish",negative,sentiment140,0.0,21.0,Saturday
2009-06-02 23:43:42,@RahkRahk I think I'm gonna say goodnight now ,positive,sentiment140,1.0,23.0,Tuesday
2009-06-17 01:41:41,@c21sftu My mind is all twittered out but my brain is still buzzing and not wanting to sleep...it's just on auto-pilot in the awake mode ,negative,sentiment140,0.0,1.0,Wednesday
2009-05-30 06:30:29,Can you see me now?? ,positive,sentiment140,1.0,6.0,Saturday
2009-04-19 11:10:19,"party day at work. me, dan, martina, donuts, girl scout cookies and arizona iced tea.. today is going to be a good day.. except homework ",negative,sentiment140,0.0,11.0,Sunday
2009-05-30 15:54:05,Liked that BB show! Small glance at my fav couples and Mark Frith was on it! I love Mark Frith! He put me in his book ,positive,sentiment140,1.0,15.0,Saturday
2009-06-05 10:14:52,Ready to leave for my meeting with Senator Harman's Small Business Adivsory Council Meeting along with CA Small Business Association. ,positive,sentiment140,1.0,10.0,Friday
2009-04-07 00:07:49,Wondering why gamebattles is down  http://bit.ly/qZuUY,negative,sentiment140,0.0,0.0,Tuesday
2009-06-23 15:36:50,the apple store is sold out of the laptop I want.  I'm just going to order it online later tonight...,negative,sentiment140,0.0,15.0,Tuesday
2009-06-07 00:44:58,hates car accidents ,negative,sentiment140,0.0,0.0,Sunday
2009-05-22 02:33:22,Kilkenny tomorrow  Cant wait!!! Bring on the mikey finns!!!,positive,sentiment140,1.0,2.0,Friday
2009-06-17 06:01:44,"Conscience and gastronomical desires, aren't the best of bed fellows, I tell you... ",negative,sentiment140,0.0,6.0,Wednesday
2009-06-24 23:52:25,Good morning everyone!Dead tired and a bit sad!  But then as things develop! I hope so!,negative,sentiment140,0.0,23.0,Wednesday
2009-05-01 22:50:48,@joooo nah it's pickled already LOL ,positive,sentiment140,1.0,22.0,Friday
2009-06-06 19:18:33,This hockey game is not going the way it is supposed to go!     The Penguins need to get it together!!!!,negative,sentiment140,0.0,19.0,Saturday
2009-06-05 14:41:04,@kccatdr oh my...sure - y not! come on Kyle! ,positive,sentiment140,1.0,14.0,Friday
2009-06-16 17:13:14,"I've had it with firefox on OS X.4, from now on I'm trying to switch to Safari...  Safari 4 works so well and firefox keeps crashing ",negative,sentiment140,0.0,17.0,Tuesday
2009-05-31 08:31:13,@mbhj thank you! ,positive,sentiment140,1.0,8.0,Sunday
2009-06-06 00:15:08,@alexisamore Ok i'll check it out then if 1 of my favs liked it ,positive,sentiment140,1.0,0.0,Saturday
2009-05-31 10:28:50,Is at work ,negative,sentiment140,0.0,10.0,Sunday
2009-06-06 07:19:32,"@GBGsuccess Oh hi, sorry i have been busy working on that site  yea thankyou for the tips as you can see iv'e used it on my site ",positive,sentiment140,1.0,7.0,Saturday
2009-06-05 15:18:29,@LaryLittle Yeah I heard  Well I hope she feels better.,negative,sentiment140,0.0,15.0,Friday
2009-06-20 19:27:02,@seanownsthewrld: i wasn't invited? ,negative,sentiment140,0.0,19.0,Saturday
2009-06-17 00:56:32,@ksymmonds @ramdomthoughts I was going to wait until someone buys me an iTouch or iPhone ,negative,sentiment140,0.0,0.0,Wednesday
2009-06-16 04:59:16,Wondering if we will have to put our 17 yr old cat to sleep...going to vet this a.m. ,negative,sentiment140,0.0,4.0,Tuesday
2009-06-15 03:56:28,eghhhhh its mondaaay! ,negative,sentiment140,0.0,3.0,Monday
2009-05-09 21:51:32,"Happy Mother's Day, Mama! You're always in my heart! ",positive,sentiment140,1.0,21.0,Saturday
2009-06-02 05:14:05,"@MsGourmet I just had a look at my copy of Saha, can't see it in index ",negative,sentiment140,0.0,5.0,Tuesday
,"Has this verification ever been useful/necessary? 

And now - Considering ChatGPT in full operation and performing magic. https://t.co/p4VX8n7qF2",neutral,chatgpt,0.5,,
2009-06-16 11:39:05,Ugh. What do these people have againist me? Strangers letting nick drive over me. ,negative,sentiment140,0.0,11.0,Tuesday
,@DrEliDavid Was ChatGPT just being polite? ;) Worth a thought.,positive,chatgpt,1.0,,
2009-05-02 12:32:44,"@mcclorypatrick ahhh, im jealouss  i love you thougghh! woooh",negative,sentiment140,0.0,12.0,Saturday
2009-06-15 07:03:51,I dream about #squarespace last night that i win a iPhone today!!! Let's see! ,positive,sentiment140,1.0,7.0,Monday
2009-06-15 00:02:08,just came from a meeting! ,positive,sentiment140,1.0,0.0,Monday
2009-05-30 21:09:27,"is prepping things for Smith on Monday...even more DVD burning for the ol' Frankster..-_-'  Whelp, at least it was a good day ",positive,sentiment140,1.0,21.0,Saturday
2009-06-07 09:20:41,Met with 2 girls I used to live with. One of them is moving to surberbia and marrying a jerk. She's only 24. How precocious! Sad though ,negative,sentiment140,0.0,9.0,Sunday
2009-05-30 15:40:30,@JamesScholes I'm neither fast at writing Braille nor am I fast at reading it either. only know uncontracted too ,negative,sentiment140,0.0,15.0,Saturday
2009-05-16 23:05:16,@tanyanoel Welcome thank you for the follow ,positive,sentiment140,1.0,23.0,Saturday
2009-05-28 21:28:14,got the solar attic fan installed today. Lovin the weather ,positive,sentiment140,1.0,21.0,Thursday
2009-06-06 12:58:47,@JonathanRKnight didya get your cafe yet? ,positive,sentiment140,1.0,12.0,Saturday
2009-06-01 21:51:39,@PerezHilton too funny...&quot;barsexuals&quot;  I love it! ,positive,sentiment140,1.0,21.0,Monday
2009-05-22 08:10:29,@giovannagarcia GM G!  How are you and Craig on this fine day?  ,positive,sentiment140,1.0,8.0,Friday
2009-05-30 06:53:03,Got a really nice pair of sandals to wear tomorrow ,positive,sentiment140,1.0,6.0,Saturday
2009-05-16 19:22:18,@DavidNoorigian   Need new tires,negative,sentiment140,0.0,19.0,Saturday
2009-05-31 12:12:15,"@shoewee   Yeah, that was fun.  I've already planted the flowers.  Maybe I'll have a hybrid from your flowers the next time we visit. ",positive,sentiment140,1.0,12.0,Sunday
2009-06-18 19:59:47,@sweeetnspicy really??? lucky  i wanna see jonathon in person lol i don't even know his last name hahaha,negative,sentiment140,0.0,19.0,Thursday
2009-06-02 23:55:50,@IanJenkin  Mooooooooooooo. How's you?,positive,sentiment140,1.0,23.0,Tuesday
,chatGPT is gonna steal my job :(,negative,chatgpt,0.0,,
2009-06-20 00:12:33,Teenage Crushes Can Get So Confusing Sometimes ... ,negative,sentiment140,0.0,0.0,Saturday
2009-05-22 01:55:16,Marilyn Manson's new album is great! Eminem's new album is pretty good too. Tori Amos' new album is also awesome  3 favs in the same month,positive,sentiment140,1.0,1.0,Friday
2009-06-06 18:55:53,Is having a brofest without his favorite bro. ,negative,sentiment140,0.0,18.0,Saturday
2009-06-02 05:06:17,"Almost done getting ready for work... Looking forward for today to be a good day  Lord, Thank you for the air we breathe &lt;3",positive,sentiment140,1.0,5.0,Tuesday
2009-06-18 19:52:46,I'm so bored I guess I'll go up here and get ready for bed  so not the move. It's on tomorrow!!!,negative,sentiment140,0.0,19.0,Thursday
2009-04-20 01:52:34,oh lordddy i missed the live show ,negative,sentiment140,0.0,1.0,Monday
2009-05-22 02:22:56,@pleasefindthis I like your writings. very inspirational. I feel very good every time I read them ,positive,sentiment140,1.0,2.0,Friday
2009-06-02 23:01:26,@ladytrauma  oh baby come on u know thats easy ,positive,sentiment140,1.0,23.0,Tuesday
2009-05-18 06:55:18,4 number again again and again ,negative,sentiment140,0.0,6.0,Monday
2009-04-07 05:34:42,"uhm, changing haircolour today! ",positive,sentiment140,1.0,5.0,Tuesday
2009-06-05 18:22:00,@Adrienne_D_Hill I STILL HAVEN'T HEARD IT!  I've been looking everywhere,negative,sentiment140,0.0,18.0,Friday
2009-05-17 01:20:35,ok i just remembered the angel thing of jonas.friggen hilarious.i am now going to watch it again.p.s. that guy joes not bad looking aye? ,positive,sentiment140,1.0,1.0,Sunday
2009-06-01 16:26:19,"I wanna qo to six flaqs ! Sadly , I've never been there beforee ",negative,sentiment140,0.0,16.0,Monday
2009-06-15 00:46:50,"@hannahhcondaa, what i meant to say is ur have been a badass since ady one and we need to party  too bad ppl i know dont use twiter lol",positive,sentiment140,1.0,0.0,Monday
2009-05-22 04:09:56,"@SeanMarler no, no I can't ",positive,sentiment140,1.0,4.0,Friday
2009-05-31 04:36:26,@_musiclover27_ that reminds me of david ,positive,sentiment140,1.0,4.0,Sunday
2009-05-02 03:05:08,Gotta go off to work   ,negative,sentiment140,0.0,3.0,Saturday
2009-05-10 00:34:31,Its too early ,negative,sentiment140,0.0,0.0,Sunday
2009-06-03 10:00:19,@NotaCougar i forgot all about your trip...terrible memory...Have a great time ,positive,sentiment140,1.0,10.0,Wednesday
2009-06-14 23:04:07,Chilling here at ross's. Camping is awesome ,positive,sentiment140,1.0,23.0,Sunday
2009-05-22 01:43:37,@mariqueen didnt get to see you at the NINJA show in irvine. i was sad ,negative,sentiment140,0.0,1.0,Friday
2009-05-10 05:28:21,"Watching? Mate I wouldn't put my life on hold for Mancs (utd or city). Anyway, our league finished last week ",negative,sentiment140,0.0,5.0,Sunday
2009-06-06 11:33:03,"30 more minutes of my life! Wait, wtf. What am I doing after this?? ",negative,sentiment140,0.0,11.0,Saturday
2009-06-20 21:42:45,"@EP31 Poor Teddy's been dumped for Stanley!  Crosby, you WHORE.",negative,sentiment140,0.0,21.0,Saturday
,Ten paper topics in philosophy and history framed by ChatGPT https://t.co/UaKzaYSV33,neutral,chatgpt,0.5,,
2009-06-01 10:50:36,Hour countdown til pooltime!  I &lt;3 summertime!!!,positive,sentiment140,1.0,10.0,Monday
2009-06-06 11:01:27,is taking Sammy for a long walk with Mom. ,positive,sentiment140,1.0,11.0,Saturday
2009-05-03 19:16:27,"@GuyHagi Pukalani light winds and voggy. Heard the landfill was shut down due to bio-diesel tanker fire. Otherwise, doing house chores. ",negative,sentiment140,0.0,19.0,Sunday
,"#ChatGPT revoluciona las aulas de arriba a abajo, la #AI (Inteligencia Artificial) se intensificarÃ¡ en la #industrial, #medicina y #EducacionBasica. @LaVanguardia
https://t.co/XxAmvXzB3Y #BeChange",neutral,chatgpt,0.5,,
2009-05-03 17:09:04,@citizenblue maybe it's trying to tell you something?  ,positive,sentiment140,1.0,17.0,Sunday
2009-06-15 15:32:30,B-O-O-S-I-E B-A-D-A-Z-Z that's me!  wipe me down,positive,sentiment140,1.0,15.0,Monday
2009-06-02 13:30:28,@beilaq_sodmq aww  i don't like wearing bathin suits at tha beach ..  i find it uncomfortable  &amp; thank youu ,negative,sentiment140,0.0,13.0,Tuesday
2009-05-30 07:31:02,@ramielemalubay hi ate ramiel! hahaha! i've been looking for your twitter since i registered here! thanks to my friend i saw it! ,positive,sentiment140,1.0,7.0,Saturday
2009-05-31 10:39:10,Just finished lunch. Hopefully swinging by a grad party before golfing then working. Ugh. Not much fun today  I don't want to work!,negative,sentiment140,0.0,10.0,Sunday
2009-06-07 05:25:06,@xsparkage lmao p.s that's a good thing ,positive,sentiment140,1.0,5.0,Sunday
2009-06-16 08:48:28,Fuck. Now I work 12-6 ,negative,sentiment140,0.0,8.0,Tuesday
2009-06-01 06:58:36,@DiegoTrashcan I'm on shuffle it's on clubland classix pmsl. ,positive,sentiment140,1.0,6.0,Monday
2009-05-03 05:33:19,"@Mrsdaughtry accomplishment 4 2day, getting everyone ready 4 church.  small thing, but good 4 this house. ",positive,sentiment140,1.0,5.0,Sunday
2009-05-01 22:01:00,havent heard a really good love song in a while ,positive,sentiment140,1.0,22.0,Friday
2009-05-28 22:00:43,@beachkid I advise that you microwave the bread before making the sandwich. ,positive,sentiment140,1.0,22.0,Thursday
2009-06-03 10:00:19,@thequark and ofcourse.. I have only read the wikipedia summary ,positive,sentiment140,1.0,10.0,Wednesday
2009-06-18 18:00:01,"@sn33kers yeah, I figured as much ",negative,sentiment140,0.0,18.0,Thursday
2009-06-06 17:53:12,Wish i cood go 2 Dreamz 2nite. But im n Philly ,negative,sentiment140,0.0,17.0,Saturday
2009-06-02 01:31:00,@Mom_09 Hubby had work to do so we'll try tomorrow. ,positive,sentiment140,1.0,1.0,Tuesday
2009-06-01 06:30:23,"wow that was a long, hot morning!  had a good time tho. really need to get my tickets 2 cornwall sorted.",positive,sentiment140,1.0,6.0,Monday
2009-05-22 07:36:48,im all alone now.  goddamn i hate being the last one to leave.,negative,sentiment140,0.0,7.0,Friday
2009-05-04 07:14:48,hmm i dont know what to do today....cause im done with school...and it feels great ,positive,sentiment140,1.0,7.0,Monday
2009-06-02 02:56:41,"@katithompson no thanks, cba, need to go to college ",negative,sentiment140,0.0,2.0,Tuesday
2009-06-19 19:01:52,There are so many pretty trannies here... I'm jealous... ,negative,sentiment140,0.0,19.0,Friday
2009-05-30 22:41:43,@FUCKCITY oh thats cool. Happy birthday.   also alias is the coolest show everr!,positive,sentiment140,1.0,22.0,Saturday
2009-05-02 22:49:13,"The Time Of My Life ~ Great voice, awesome song, really inspiring! Gives me goosebumps!  xox ? http://blip.fm/~5grjo",positive,sentiment140,1.0,22.0,Saturday
2009-06-15 11:30:28,"@HIM07 my son just had a bday, I bog't him an official m. cabera jersey ",positive,sentiment140,1.0,11.0,Monday
2009-04-19 03:46:24,Absurd intoxication only numbs the pain for so long. Until you wake up and realize the pains still there.  RIP Andrew and Justin.,negative,sentiment140,0.0,3.0,Sunday
2009-05-03 23:27:05,Just finished doing chores.  Now what?,positive,sentiment140,1.0,23.0,Sunday
2009-06-07 15:31:52,noid Yeah!  &lt;3 sexy voice goes to Nick Jonas,positive,sentiment140,1.0,15.0,Sunday
2009-06-15 04:42:28,@chrisssyk nooooooooooooooooooooo.  oh well. i will fill u in abt it in math tomorrowww,negative,sentiment140,0.0,4.0,Monday
2009-06-15 00:25:30,@kicks_city I started developing kinda early ,negative,sentiment140,0.0,0.0,Monday
2009-06-15 00:02:38,@ChelseaParadiso its not there yet? ,negative,sentiment140,0.0,0.0,Monday
2009-06-17 23:50:41,Let's pray that I don't fall asleep on the way home... ,negative,sentiment140,0.0,23.0,Wednesday
2009-05-29 22:56:31,"@GarrettBB Sounds like Bookends is best for me.  Still, you're the first person I know who uses Pages '08 exclusively.  Beats Word ",positive,sentiment140,1.0,22.0,Friday
2009-06-02 04:08:21,my friends parents have swine flu  it's creeping over!,negative,sentiment140,0.0,4.0,Tuesday
2009-06-15 10:17:06,hate workin' on the east side ,negative,sentiment140,0.0,10.0,Monday
2009-06-01 18:05:44,@jillgoesrawr isn't that insane?? ,positive,sentiment140,1.0,18.0,Monday
2009-06-20 11:37:52,@orentodoros - Beware all articles say the changes they made in the movie took out everything that made the book as amazing as it was. ,negative,sentiment140,0.0,11.0,Saturday
2009-06-17 11:41:52,@RayneDayze  good luck! let us know how it goes!,negative,sentiment140,0.0,11.0,Wednesday
2009-06-03 05:16:24,"@KrisAllenmusic hy kris! my friend mikee is a big fan of yours  infact, when you won amidoL, i thought our roof was to collapse XD",positive,sentiment140,1.0,5.0,Wednesday
2009-06-22 16:01:34,Just remembered that my 360 red ringed last night. I think I'll live in denial of that fact for the day and deal with it tomorrow. ,negative,sentiment140,0.0,16.0,Monday
2009-06-06 13:39:44,Just had to cancel on my man Fubar. Bad time keeping on my part results in no party time at his in kdy. Sorry dude ,negative,sentiment140,0.0,13.0,Saturday
2009-06-02 05:12:21,"Woah, twitter actually uploaded my picture?! ",positive,sentiment140,1.0,5.0,Tuesday
2009-05-30 19:24:30,"@fantaztick Ahh. and omg, yes, it is Taiki's birthday omg! We missed Yaten's ",negative,sentiment140,0.0,19.0,Saturday
2009-05-28 23:59:16,@_IANNE T___T lets think on the bright side. ISA in August.. jst 3 more months.... ,positive,sentiment140,1.0,23.0,Thursday
2009-06-01 06:40:26,is a walking advert for christian audigier today ,positive,sentiment140,1.0,6.0,Monday
2009-06-15 03:33:59,@joshijosh eh! awesomeness! now's my turn to ber-scone... before it expires. haha ,positive,sentiment140,1.0,3.0,Monday
2009-06-07 13:29:05,this is one of the worst days in recent memory ,negative,sentiment140,0.0,13.0,Sunday
2009-06-02 14:14:21,@GarveyBen I missed it    I saw the second episode today though!,negative,sentiment140,0.0,14.0,Tuesday
2009-05-03 20:56:49,Got my vid up ,positive,sentiment140,1.0,20.0,Sunday
2009-06-15 20:26:54,"Went to dinner then to target.  Now eating brie and crackers in my bed, drinking limeade, indulging.  Don't have to run so early tomorrow ",positive,sentiment140,1.0,20.0,Monday
2009-06-15 07:32:02,Last day of vaca back to albs at some point today ,negative,sentiment140,0.0,7.0,Monday
2009-06-07 10:09:11,Yay done the exam!! Now back to work ,negative,sentiment140,0.0,10.0,Sunday
2009-05-18 06:56:44,@Secret_Angel study stuff for my silly exam  x,negative,sentiment140,0.0,6.0,Monday
2009-04-17 20:32:35,I have to go to work in the a.m. &amp; I CAN'T sleep! ,negative,sentiment140,0.0,20.0,Friday
2009-06-07 08:32:41,@carinafox5 LOL Im sure you're just fine...a &quot;10&quot; for real!!  ive got 31 sleeps! it DOES feel like forever!!,positive,sentiment140,1.0,8.0,Sunday
2009-05-29 11:33:50,@IJsthee Or your mobile doesn't like me ,negative,sentiment140,0.0,11.0,Friday
2009-05-30 19:10:29,Home watchin the magic game w/ my family &amp; boyfriend ,positive,sentiment140,1.0,19.0,Saturday
,"Microsoft investit 10 milliards de dollars dans ChatGPT Maker OpenAI...
https://t.co/MXHeOdrH2H",neutral,chatgpt,0.5,,
,"Microsoft is investing $10B in OpenAI, whose artificial intelligence tool ChatGPT has lit up the internet since its introduction in November. https://t.co/ndS1l6d7ef",positive,chatgpt,1.0,,
2009-06-15 18:56:23,@iamgeoffpope awwww geoff has a girlfriendddd..well that's what I hear ,positive,sentiment140,1.0,18.0,Monday
2009-05-17 07:37:34,"@alysonstonerAS I'm fine, but i'm doing my homerwork  haha Whats up?",negative,sentiment140,0.0,7.0,Sunday
2009-06-02 05:49:35,@nicolex33 In the Atlantik ,negative,sentiment140,0.0,5.0,Tuesday
2009-06-07 06:49:24,@OwenGreaves Ahhh...gotcha. I hope you have the coffee brewing too. ,positive,sentiment140,1.0,6.0,Sunday
